name,path,initiator,original_cost,final_cost,shared_segments,car_service_fares,num_shared_segments,num_car_service_fares
Human-1-Waiter-1,"[sem2, sta1, sta3, sta4, sta6, sem7]",False,51.0,64.2149658203125,"[Path: [sem2, sta1], Initiator: false]","[Path: [sta6, sem7], Fare: 27,96, Expected: 22,50]",1,1
Human-1-Waiter-2,"[sem2, sta1, sta3, sta4, sta6, sem7]",False,51.0,122.12055206298828,[],"[Path: [sem2, sta1], Fare: 59,46, Expected: 22,50, Path: [sta6, sem7], Fare: 36,66, Expected: 22,50]",0,2
Human-14-Waiter-1,"[sem7, sta6, sta5]",False,24.5,23.37897300720215,[],"[Path: [sem7, sta6], Fare: 11,38, Expected: 22,50]",0,1
Human-14-Waiter-2,"[sem7, sta6, sta5]",False,24.5,26.19671058654785,[],"[Path: [sem7, sta6], Fare: 14,20, Expected: 22,50]",0,1
Human-14-Waiter-3,"[sem7, sta6, sta5]",False,24.5,29.73278045654297,[],"[Path: [sem7, sta6], Fare: 17,73, Expected: 22,50]",0,1
Human-14-Waiter-4,"[sem7, sta6, sta5]",False,24.5,28.277448654174805,[],"[Path: [sem7, sta6], Fare: 16,28, Expected: 22,50]",0,1
Human-17-Waiter-1,"[sta3, sta4, sta6, sta5, sem5]",False,51.0,53.0765495300293,[],"[Path: [sta5, sem5], Fare: 27,08, Expected: 45,00]",0,1
Human-17-Waiter-3,"[sta3, sta4, sta6, sta5, sem5]",False,51.0,52.52032470703125,[],"[Path: [sta5, sem5], Fare: 26,52, Expected: 45,00]",0,1
Human-18-Waiter-2,"[sta2, sta1, sta3, sta4, sta6, sem7, sem8]",False,53.0,48.5,"[Path: [sta6, sem7, sem8], Initiator: false]",[],1,0
Human-19-Waiter-1,"[sem6, sta3, sta4, sta6]",False,49.0,62.23908233642578,[],"[Path: [sem6, sta3], Fare: 38,24, Expected: 45,00]",0,1
Human-19-Waiter-2,"[sem6, sta3, sta4, sta6]",False,49.0,84.65064239501953,[],"[Path: [sem6, sta3], Fare: 60,65, Expected: 45,00]",0,1
Human-19-Waiter-3,"[sem6, sta3, sta4, sta6]",False,49.0,40.5964469909668,[],"[Path: [sem6, sta3], Fare: 16,60, Expected: 45,00]",0,1
Human-19-Waiter-4,"[sem6, sta3, sta4, sta6]",False,49.0,44.0,"[Path: [sem6, sta3], Initiator: false]",[],1,0
Human-19-Waiter-5,"[sem6, sta3, sta4, sta6]",False,49.0,105.33416748046876,[],"[Path: [sem6, sta3], Fare: 81,33, Expected: 45,00]",0,1
Human-28-Waiter-2,"[sem3, sta4, sta6, sta5, sem5]",False,71.5,147.5906219482422,[],"[Path: [sem3, sta4], Fare: 41,52, Expected: 22,50, Path: [sta5, sem5], Fare: 72,07, Expected: 45,00]",0,2
